concept_id,n_positions,evr_pc1,evr_pc2,evr_pc3,evr_pc4,evr_pc5,evr_pc6,evr_pc7,evr_pc8,evr_pc9,evr_pc10,cum_pc1_1,cum_pc1_2,cum_pc1_3,cum_pc1_4,cum_pc1_5,cum_pc1_6,cum_pc1_7,cum_pc1_8,cum_pc1_9,cum_pc1_10
0,16,0.254466,0.115796,0.107063,0.081443,0.079278,0.071140,0.055896,0.042027,0.036840,0.035153,0.254466,0.370261,0.477324,0.558767,0.638044,0.709184,0.765080,0.807107,0.843947,0.879100
1,14,0.277878,0.105206,0.099169,0.092292,0.084749,0.075054,0.055350,0.049018,0.040342,0.033618,0.277878,0.383084,0.482254,0.574546,0.659295,0.734349,0.789699,0.838717,0.879059,0.912677
2,17,0.227160,0.211848,0.100189,0.089033,0.071988,0.045490,0.040836,0.035856,0.029996,0.028052,0.227160,0.439009,0.539198,0.628231,0.700219,0.745709,0.786545,0.822400,0.852396,0.880448
3,23,0.211198,0.133740,0.073383,0.055628,0.053689,0.048027,0.046095,0.039961,0.037267,0.031912,0.211198,0.344938,0.418321,0.473949,0.527639,0.575666,0.621761,0.661722,0.698988,0.730900
4,16,0.265224,0.106220,0.085552,0.081086,0.072799,0.063890,0.060848,0.049719,0.044282,0.037706,0.265224,0.371444,0.456996,0.538082,0.610881,0.674771,0.735619,0.785338,0.829620,0.867326
5,18,0.231139,0.190177,0.091381,0.073586,0.067185,0.056357,0.045316,0.039251,0.032669,0.030008,0.231139,0.421315,0.512696,0.586283,0.653468,0.709824,0.755140,0.794392,0.827061,0.857069
6,19,0.328318,0.151234,0.085741,0.057272,0.049205,0.046691,0.044010,0.039810,0.033148,0.028379,0.328318,0.479552,0.565293,0.622565,0.671770,0.718461,0.762471,0.802281,0.835429,0.863808
7,18,0.280125,0.161306,0.093722,0.071556,0.062508,0.051860,0.040558,0.038162,0.036953,0.032205,0.280125,0.441432,0.535154,0.606710,0.669218,0.721078,0.761635,0.799797,0.836750,0.868956
8,15,0.230320,0.111806,0.095744,0.090843,0.080767,0.067276,0.059527,0.055335,0.051370,0.039818,0.230320,0.342126,0.437870,0.528713,0.609480,0.676755,0.736282,0.791617,0.842987,0.882805
9,19,0.169942,0.116596,0.101052,0.092347,0.068123,0.062164,0.051580,0.049375,0.046438,0.043999,0.169942,0.286538,0.387589,0.479936,0.548059,0.610223,0.661803,0.711179,0.757617,0.801615
10,24,0.147648,0.117449,0.087318,0.068945,0.051299,0.050166,0.047081,0.045772,0.038867,0.035292,0.147648,0.265097,0.352415,0.421360,0.472659,0.522825,0.569906,0.615677,0.654544,0.689836
11,24,0.179931,0.125274,0.095248,0.075031,0.065176,0.053661,0.045799,0.039533,0.038059,0.033761,0.179931,0.305205,0.400452,0.475483,0.540659,0.594320,0.640119,0.679652,0.717711,0.751472
12,22,0.166144,0.137465,0.120849,0.085272,0.068859,0.054284,0.050489,0.045035,0.034577,0.029005,0.166144,0.303609,0.424458,0.509730,0.578589,0.632873,0.683362,0.728398,0.762975,0.791980
13,18,0.180457,0.145694,0.092510,0.084239,0.073626,0.059370,0.050791,0.049884,0.046802,0.040558,0.180457,0.326151,0.418661,0.502900,0.576525,0.635895,0.686686,0.736570,0.783372,0.823930
14,22,0.179824,0.149224,0.094759,0.086527,0.065783,0.060947,0.054340,0.046253,0.041563,0.038777,0.179824,0.329048,0.423807,0.510334,0.576117,0.637064,0.691403,0.737656,0.779219,0.817996
15,18,0.277899,0.111768,0.091850,0.084171,0.070548,0.054049,0.048389,0.042045,0.036188,0.035181,0.277899,0.389667,0.481517,0.565688,0.636236,0.690285,0.738674,0.780719,0.816907,0.852088
16,23,0.279938,0.146173,0.089002,0.062293,0.052912,0.047200,0.038411,0.035970,0.029114,0.026332,0.279938,0.426111,0.515114,0.577406,0.630318,0.677518,0.715928,0.751898,0.781012,0.807344
17,23,0.148513,0.141382,0.105389,0.088424,0.059462,0.051914,0.047087,0.042441,0.033509,0.032065,0.148513,0.289895,0.395284,0.483708,0.543170,0.595084,0.642171,0.684612,0.718121,0.750186
18,19,0.264206,0.161078,0.085112,0.078281,0.074011,0.062528,0.047951,0.039320,0.030772,0.026006,0.264206,0.425284,0.510395,0.588676,0.662687,0.725215,0.773166,0.812486,0.843258,0.869264
19,16,0.244619,0.123973,0.117100,0.092818,0.071482,0.067287,0.051828,0.047706,0.041048,0.036975,0.244619,0.368593,0.485693,0.578511,0.649994,0.717281,0.769109,0.816814,0.857862,0.894837
